Name,Region,Population (rounded)*,Postcode,Ethnic Breakdown 2016,Median House Price (2020),Median House Price (2021),% Change,Median House Rent (per week),Median Apartment Price (2020),Median Apartment Rent (per week),Public Housing %,Avg. Years Held,Time to CBD (Public Transport) [Town Hall St],Time to CBD (Driving) [Town Hall St],Nearest Train Station,Highlights/Attractions,Ideal for,Traffic,Public Transport,Affordability (Rental),Affordability (Buying),Nature,Noise,Things to See/Do,Family-Friendliness,Pet Friendliness,Safety,Overall Rating,Review Link
Rushcutters Bay,Eastern Suburbs,"2,750",2011,"English 23.8%, Australian 13.1%, Irish 10.1%, Scottish 7.1%, Chinese 3.3%","$2,600,000.00","$3,000,000.00",15.38%,,"$865,000.00",$550.00,0%,,20,15,Kings Cross,"Rushcutters Bay Park, Yacht Club of Australia","Young professionals, professionals, retirees",4,5,4,2,8,7,5,8,9,7,5.9,https://sydneysuburbreviews.com/rushcutters-bay
Allawah,Southern Suburbs,"6,000",2218,"Chinese 29.5%, Australian 8.8%, English 8.0%, Nepalese 6.2%, Irish 3.2%","$1,200,000.00","$1,350,000.00",12.50%,$580.00,"$650,000.00",$430.00,2%,14.5,25,30,Allawah,Allawah Hotel,"Families, professionals, retirees",5,5,7,5,5,8,3,6,6,8,5.8,https://sydneysuburbreviews.com/allawah
Edgecliff,Eastern Suburbs,"2,750",2027,"English 24.9%, Australian 15.0%, Irish 10.7%, Scottish 8.1%, Chinese 3.2%","$2,000,000.00","$2,400,000.00",20.00%,$910.00,"$1,125,000.00",$600.00,0%,14.1,8,10,Edgecliff,"Trumper Park, Rushcutter's Bay Park","Professionals, young professionals, small families",4,9,5,2,7,4,5,6,8,8,5.8,https://sydneysuburbreviews.com/edgecliff
Five Dock,Inner West,"10,000",2046,"Italian 18.9%, Australian 16.1%, English 15.8%, Irish 7.7%, Chinese 5.8%","$1,700,000.00","$2,000,000.00",17.65%,$760.00,"$845,000.00",$590.00,5%,16.1,40,20,Burwood,Five Dock Park,"Professionals, families, small families, retirees",4,4,4,3,8,6,6,8,8,7,5.8,https://sydneysuburbreviews.com/five-dock
Leichhardt,Inner West,"15,000",2040,"English 23.1%, Australian 18.3%, Irish 10.6%, Italian 7.2%, Scottish 6.9%","$1,450,000.00","$1,800,000.00",24.14%,$770.00,"$875,000.00",$560.00,3%,12.2,25,15,Leichhardt North (light rail),"Pioneers Memorial Park, Italian dining, historic architecture","Young professionals, professionals, small families",3,6,5,5,6,3,9,7,7,7,5.8,https://sydneysuburbreviews.com/leichhardt
Lewisham,Inner West,"3,250",2049,"English 22.3%, Australian 18.7%, Irish 10.9%, Scottish 7.0%, Chinese 4.2%","$1,400,000.00","$1,700,000.00",21.43%,$760.00,"$775,000.00",$510.00,1%,12.6,20,20,Lewisham,Morton Park,"Professionals, small families, retirees",4,8,5,4,6,7,2,8,6,8,5.8,https://sydneysuburbreviews.com/lewisham
Meadowbank,North Shore,"5,000",2114,"Chinese 20.8%, English 12.0%, Australian 10.2%, Korean 8.9%, Indian 8.8%","$1,480,000.00","$1,650,000.00",11.49%,,"$660,000.00",$480.00,0%,,25,30,Meadowbank,"Meadowbank Park, Memorial Park, TAFE NSW","Young professionals, professionals, small families",5,8,5,5,7,6,4,5,5,8,5.8,https://sydneysuburbreviews.com/meadowbank
Erskineville,Inner South,"8,500",2043,"English 24.6%, Australian 17.0%, Irish 10.9%, Scottish 5.9%, Chinese 5.0%","$1,400,000.00","$1,650,000.00",17.86%,$790.00,"$890,000.00",$650.00,4%,12.7,10,20,Erskineville,"Sydney Park, Bars/hotels",Young professionals,3,7,4,3,6,6,6,7,8,7,5.7,https://sydneysuburbreviews.com/erskineville
Homebush,Inner West,"7,500",2140,"Chinese 16.8%, Indian 15.7%, Korean 9.0%, English 8.4%, Australian 7.0%","$1,700,000.00","$2,000,000.00",17.65%,$640.00,"$650,000.00",$520.00,2%,12.5,30,25,Homebush,"DFO Homebush, sporting fields, cycling tracks","Small families, families, retirees, professionals",2,6,6,3,7,4,8,7,7,7,5.7,https://sydneysuburbreviews.com/homebush
Marrickville,Inner West,"28,000",2204,"English 18.1%, Australian 15.3%, Irish 8.8%, Greek 6.6%, Scottish 5.6%","$1,400,000.00","$1,700,000.00",21.43%,$750.00,"$740,000.00",$500.00,5%,13.4,20,35,Marrickville,"Batch Brewing Co, Organic Foods & Farmers Market, Marrickville Metro","Young professionals, small families",4,7,5,4,6,3,9,7,6,6,5.7,https://sydneysuburbreviews.com/marrickville
Neutral Bay,Lower North Shore,"11,000",2089,"English 25.2%, Australian 15.5%, Irish 9.5%, Scottish 8.1%, Chinese 5.4%","$2,550,000.00","$2,850,000.00",11.76%,"$1,000.00","$940,000.00",$590.00,0%,12.7,25,15,None,"Anderson Park & waterfront area, quality cafes & dining, harbour views","Professionals, small families",1,5,3,2,8,7,8,7,7,9,5.7,https://sydneysuburbreviews.com/neutral-bay
Rosebery,Inner South,"10,500",2018,"Chinese 15.8%, English 12.8%, Australian 11.7%, Greek 8.3%, Irish 6.7%","$1,650,000.00","$1,850,000.00",12.12%,$825.00,"$860,000.00",$665.00,3%,14.1,30,20,Mascot,"The Cannery, heritage homes, Messina HQ","Professionals, young professionals, small families",3,5,4,3,6,5,8,8,8,7,5.7,https://sydneysuburbreviews.com/rosebery
Wentworthville,Western Suburbs,"11,500",2145,"Indian 26.0%, English 9.7%, Australian 9.4%, Chinese 7.1%, Lebanese 3.8%","$950,000.00","$1,150,000.00",21.05%,$480.00,"$530,000.00",$430.00,7%,13.2,35,35,Wentworthville,"Indian dining, Community Garden","Families, professionals",4,6,7,6,4,5,6,7,6,6,5.7,https://sydneysuburbreviews.com/wentworthville
Earlwood,Inner West,"18,500",2206,"Greek 18.0%, Australian 12.5%, English 12.1%, Italian 7.2%, Lebanese 5.9%","$1,400,000.00","$1,700,000.00",21.43%,$690.00,"$775,000.00",$515.00,1%,13.8,45,25,Bardwell Park,Gough Whitlam Park,"Families, small families, retirees",5,3,6,4,7,6,4,8,8,5,5.6,https://sydneysuburbreviews.com/earlwood
Peakhurst,Southern Suburbs,"11,000",2210,"Australian 18.9%, English 17.9%, Chinese 11.4%, Irish 6.5%, Greek 4.8%","$970,000.00","$1,250,000.00",28.87%,$630.00,"$700,000.00",$505.00,8%,11,50,35,Mortdale,Salt Pan Creek,"Small families, families, retirees, professionals",4,3,6,6,7,7,2,7,8,6,5.6,https://sydneysuburbreviews.com/peakhurst
Surry Hills,Inner East,"17,000",2010,"English 20.9%, Australian 12.0%, Irish 9.1%, Chinese 7.0%, Scottish 5.9%","$1,750,000.00","$2,000,000.00",14.29%,$910.00,"$810,000.00",$620.00,11%,11,10,15,Central,"Crown Street dining/pubs, Golden Age Cinema, Prince Alfred Park","Young professionals, small families",4,7,3,2,6,6,7,7,8,6,5.6,https://sydneysuburbreviews.com/surry-hills
Wolli Creek,Southern Suburbs,"7,000",2205,"Chinese 31.1%, English 8.4%, Australian 6.3%, Mongolian 4.2%, Indian 3.1%","$890,000.00",-,#VALUE!,,"$725,000.00",$610.00,2%,11,20,30,Wolli Creek,"Cahill Park, ??","Young professionals, small families",5,8,5,5,5,4,3,7,7,7,5.6,https://sydneysuburbreviews.com/wolli-creek
North Sydney,Lower North Shore,"8,000",2060,"English 22.7%, Australian 14.3%, Irish 9.3%, Chinese 7.4%, Scottish 6.5%","$2,150,000.00","$2,700,000.00",25.58%,$950.00,"$880,000.00",$640.00,1%,16.4,12,15,North Sydney,"Wendy Whiteley's Secret Garden, Luna Park",,4,9,4,2,5,7,5,5,6,8,5.5,https://sydneysuburbreviews.com/north-sydney
Paddington,Inner East,"13,500",2021,"English 27.4%, Australian 17.5%, Irish 11.8%, Scottish 8.3%, German 3.0%","$2,400,000.00","$3,000,000.00",25.00%,"$1,150.00","$860,000.00",$525.00,1%,10.2,15,10,Edgecliff,"Reservoir, Paddington Markets, Palace Verona Cinema",Professionals,4,3,4,2,7,6,8,7,8,6,5.5,https://sydneysuburbreviews.com/paddington
Pyrmont,Sydney City,"13,500",2009,"English 16.0%, Chinese 14.6%, Australian 11.2%, Irish 6.3%, Scottish 4.5%","$1,550,000.00","$2,000,000.00",29.03%,$800.00,"$1,000,000.00",$730.00,5%,13.7,10,8,Pyrmont Bay (light rail),"Star Casino, Sydney Fish Market, Lyric Theatre",Young professionals,3,6,4,3,7,4,9,7,6,6,5.5,https://sydneysuburbreviews.com/pyrmont
Rockdale,Southern Suburbs,"16,000",2216,"Chinese 13.9%, Nepalese 11.7%, English 7.9%, Australian 7.1%, Macedonian 5.4%","$1,150,000.00","$1,350,000.00",17.39%,$625.00,"$625,000.00",$510.00,2%,15.9,20,25,Rockdale,Rockdale Bicentennial Park,"Professionals, young professionals, families, small families",2,7,6,6,4,4,7,7,7,5,5.5,https://sydneysuburbreviews.com/rockdale
Chatswood,North Shore,"26,500",2067,"Chinese 34.1%, English 12.0%, Australian 9.1%, Korean 6.5%, Irish 4.4%","$2,200,000.00","$2,550,000.00",15.91%,$925.00,"$1,000,000.00",$615.00,1%,15.2,25,20,Chatswood,"Westfield Chatswood, Chatswood Chase","University students, professionals",3,6,5,4,5,5,5,7,7,7,5.4,https://sydneysuburbreviews.com/chatswood
Crows Nest,Lower North Shore,"5,000",2065,"English 23.0%, Australian 17.5%, Irish 9.8%, Scottish 6.8%, Chinese 5.9%","$2,000,000.00","$2,400,000.00",20.00%,$975.00,"$915,000.00",$560.00,1%,12.5,30,15,St Leonards,"Bars & dining, St. Thomas Rest Park","Young professionals, small families",4,5,4,3,5,4,8,6,7,8,5.4,https://sydneysuburbreviews.com/crows-nest
Macquarie Park,North Shore,"8,500",2113,"Chinese 20.8%, English 12.6%, Australian 10.2%, Indian 9.4%, Irish 7.5%",-,-,#VALUE!,,"$830,000.00",$530.00,10%,10.5,35,25,Macquarie Park (metro),"Macquarie Centre, Macquarie University","University students, professionals, young professionals",3,7,6,6,7,3,6,4,4,8,5.4,https://sydneysuburbreviews.com/macquarie-park
Petersham,Inner West,"8,500",2049,"English 22.4%, Australian 17.7%, Irish 11.1%, Scottish 7.1%, Italian 3.8%","$1,500,000.00","$1,800,000.00",20.00%,$760.00,"$750,000.00",$460.00,3%,14.8,15,15,Petersham,White Cockatoo Hotel,"Small families, professionals, young professionals",3,7,5,3,5,3,8,6,8,6,5.4,https://sydneysuburbreviews.com/petersham
Rhodes,Inner West,"12,000",2138,"Chinese 44.5%, Korean 11.1%, English 7.1%, Indian 5.1%, Australian 4.3%","$2,500,000.00",,-100.00%,$645.00,"$850,000.00",$630.00,1%,,30,25,Rhodes,"Kokoda Park & cafe, Rhodes Waterside, Brays Bay Reserve","Professionals, young professionals, university students, small families",3,7,4,4,6,4,7,5,6,8,5.4,https://sydneysuburbreviews.com/rhodes
Ashfield,Inner West,"25,000",2131,"Chinese 19.0%, English 12.7%, Australian 10.6%, Nepalese 6.0%, Irish 5.9%","$1,500,000.00","$1,750,000.00",16.67%,$650.00,"$680,000.00",$480.00,1%,14.8,20,20,Ashfield,"Ashfield Park, Asian dining","Young professionals, professionals",3,7,4,4,5,5,5,7,6,7,5.3,https://sydneysuburbreviews.com/ashfield
McMahons Point,Lower North Shore,"2,500",2060,"English 28.4%, Australian 15.8%, Irish 11.4%, Scottish 8.7%, Chinese 3.8%","$4,200,000.00",,-100.00%,"$1,000.00","$1,300,000.00",$600.00,0%,,15,15,North Sydney,Blues Point Reserve,"Young professionals, professionals",4,9,4,2,6,5,5,5,6,7,5.3,
Mosman,North Shore,"30,000",2088,"English 28.5%, Australian 18.3%, Irish 10.5%, Scottish 5.9%, Chinese 5.2%","$3,550,000.00","$4,200,000.00",18.31%,"$1,650.00","$1,050,000.00",$590.00,0%,11.8,40,30,North Sydney,"Balmoral Beach, Taronga Zoo, Clifton Gardens","Professionals, families",2,2,2,1,7,8,6,9,8,8,5.3,https://sydneysuburbreviews.com/mosman
Newtown,Inner West,"16,000",2042,"English 23.7%, Australian 16.8%, Irish 11.2%, Scottish 7.5%, Chinese 4.7%","$1,400,000.00","$1,750,000.00",25.00%,$795.00,"$690,000.00",$490.00,4%,11.6,15,15,Newtown,"King Street bars & dining,","University students, young professionals",3,7,5,3,5,4,9,5,8,4,5.3,https://sydneysuburbreviews.com/newtown
Strathfield,Inner West,"26,500",2135,"Chinese 19.6%, Indian 10.0%, Korean 9.9%, English 7.4%, Australian 6.9%","$2,400,000.00","$2,800,000.00",16.67%,$750.00,"$700,000.00",$535.00,2%,12.8,35,30,Strathfield,"Korean dining, Strathfield Park","Professionals, families",5,9,4,2,5,4,5,7,5,7,5.3,https://sydneysuburbreviews.com/strathfield
Camperdown,Inner West,"11,000",2050,"English 21.0%, Australian 15.8%, Chinese 11.5%, Irish 9.9%, Scottish 6.9%","$1,350,000.00","$1,800,000.00",33.33%,$785.00,"$760,000.00",$620.00,4%,11.7,20,15,Macdonaldtown,"University of Sydney, Camperdown Memorial Rest Park, Victoria Park","University students, young professionals, small families",3,5,4,3,7,4,8,6,7,5,5.2,https://sydneysuburbreviews.com/camperdown
Campsie,Western Suburbs,"25,000",2194,"Chinese 31.0%, Nepalese 6.9%, Lebanese 5.8%, English 5.5%, Australian 5.2%","$1,100,000.00","$1,400,000.00",27.27%,$590.00,"$570,000.00",$435.00,3%,14,25,25,Campsie,Federation Reserve,"Families, small families, professionals",2,7,6,6,3,5,6,6,6,5,5.2,https://sydneysuburbreviews.com/campsie
Chippendale,Sydney City,"9,000",2008,"Chinese 33.1%, English 10.9%, Australian 6.6%, Irish 4.1%, Scottish 3.1%","$1,450,000.00","$1,600,000.00",10.34%,$950.00,"$745,000.00",$650.00,6%,14.1,10,10,Central,"Spice Alley, Central Park One, White Rabbit Gallery","University students, professionals",4,5,5,3,5,4,8,6,5,7,5.2,https://sydneysuburbreviews.com/chippendale
Kingsford,Eastern Suburbs,"15,000",2032,"Chinese 29.6%, English 11.3%, Australian 10.2%, Greek 6.8%, Irish 5.9%","$2,100,000.00","$2,500,000.00",19.05%,$925.00,"$835,000.00",$570.00,2%,13.8,30,20,Kingsford (light rail),Kensington Park,"University students, professionals, families, retirees",4,7,4,3,5,6,6,6,6,5,5.2,https://sydneysuburbreviews.com/kingsford
St Peters,Inner West,"3,250",2044,"English 23.4%, Australian 17.5%, Irish 10.5%, Scottish 6.5%, Chinese 4.2%","$1,250,000.00","$1,550,000.00",24.00%,$770.00,"$870,000.00",$650.00,0%,13.2,15,25,St. Peters,"Sydney Park, street art & murals","Young professionals, small families",4,7,5,4,6,3,4,6,6,7,5.2,https://sydneysuburbreviews.com/st-peters
Stanmore,Inner West,"8,000",2048,"English 21.8%, Australian 17.9%, Irish 11.2%, Scottish 7.6%, Italian 4.3%","$1,550,000.00","$1,900,000.00",22.58%,$855.00,"$755,000.00",$490.00,2%,15.5,15,15,Stanmore,Heritage architecture,"Professionals, small families, retirees",5,7,4,3,5,3,3,8,6,8,5.2,https://sydneysuburbreviews.com/stanmore
Burwood,Inner West,"16,500",2134,"Chinese 45.1%, English 7.0%, Australian 5.3%, Indian 3.9%, Korean 3.7%","$1,900,000.00","$2,150,000.00",13.16%,$700.00,"$790,000.00",$580.00,3%,14.2,15,25,Burwood,"Burwood Westfield, Burwood Park","University students, professionals, small families",3,7,4,3,4,4,9,7,4,6,5.1,https://sydneysuburbreviews.com/burwood
Roselands,Western Suburbs,"12,000",2196,"Greek 12.4%, Lebanese 12.3%, Australian 11.3%, English 9.3%, Chinese 7.3%","$975,000.00","$1,150,000.00",17.95%,$580.00,"$470,000.00",$390.00,5%,13.1,45,30,Narwee,Roselands Shopping Centre,"Professionals, families, small families",3,4,7,6,4,5,6,5,5,6,5.1,https://sydneysuburbreviews.com/roselands
Glebe,Inner West,"12,000",2037,"English 22.0%, Australian 16.0%, Irish 10.4%, Scottish 7.0%, Chinese 5.9%","$1,700,000.00","$1,850,000.00",8.82%,$875.00,"$810,000.00",$570.00,19%,15.1,20,12,Glebe (light rail),"Glebe Markets, Glebe Foreshore Walk, pubs/bars","University students, young professionals, retirees",3,6,4,2,6,5,6,5,7,6,5,https://sydneysuburbreviews.com/glebe
Redfern,Inner East,"13,500",2016,"English 20.8%, Australian 14.1%, Irish 9.5%, Chinese 7.2%,Scottish 6.3%","$1,400,000.00","$1,800,000.00",28.57%,$850.00,"$970,000.00",$640.00,21%,12.9,10,5,Redfern,"Prince Alfred Park, Redfern Park, bars/cafes/dining scene","Young professionals, professionals",3,9,3,3,6,4,9,5,5,3,5,https://sydneysuburbreviews.com/redfern
St Leonards,Lower North Shore,"5,750",2065,"Chinese 19.3%, English 15.1%, Australian 9.9%, Indian 6.1%, Irish 6.0%","$2,300,000.00","$2,700,000.00",17.39%,$840.00,"$1,050,000.00",$650.00,0%,12.5,20,15,St. Leonards,N/A,"Young professionals, small families",4,7,5,3,4,4,4,6,5,8,5,https://sydneysuburbreviews.com/st-leonards
Zetland,Inner East,"10,000",2017,"Chinese 33.8%, English 13.1%, Australian 8.1%, Irish 6.2%, Scottish 3.6%","$1,400,000.00","$1,750,000.00",25.00%,$975.00,"$920,000.00",$740.00,1%,16.5,8,15,Green Square,"East Village Shopping Centre, Joynton Park","University students, young professionals, small familes",2,7,5,5,6,3,4,5,6,7,5,https://sydneysuburbreviews.com/zetland
Darlinghurst,Sydney City,"12,000",2010,"English 22.4%, Australian 12.4%, Irish 9.6%, Scottish 7.0%, Chinese 4.0%","$1,850,000.00","$2,200,000.00",18.92%,$950.00,"$975,000.00",$590.00,3%,10.1,10,8,Kings Cross,"Gelato Messina, Sydney Jewish Museum, Bars & clubs","University students, backpackers, young professionals",3,7,4,3,5,4,7,5,7,4,4.9,https://sydneysuburbreviews.com/darlinghurst
Mascot,Southern Suburbs,"15,000",2020,"Chinese 18.1%, English 13.0%, Australian 11.7%, Irish 5.5%, Greek 4.3%","$1,250,000.00","$1,600,000.00",28.00%,$710.00,"$815,000.00",$690.00,2%,12,15,20,Mascot,"Mascot Memorial Park, Sydney Airport","Young professionals, professionals, small families",2,7,5,6,5,2,6,5,5,6,4.9,https://sydneysuburbreviews.com/mascot
Bankstown,Western Suburbs,"34,000",2200,"Vietnamese 16.3%, Lebanese 12.7%, Chinese 9.5%, Australian 6.8%, English 5.6%","$890,000.00","$1,050,000.00",17.98%,$525.00,"$490,000.00",$420.00,8%,10.6,30,35,Bankstown,"Westfield Bankstown, Bankstown RSL","Young professionals, families",3,7,6,5,4,4,6,5,5,3,4.8,
Ultimo,Sydney City,"9,250",2007,"Chinese 36.6%, English 8.4%, Australian 5.8%, Thai 4.3%, Korean 3.3%","$1,350,000.00","$1,700,000.00",25.93%,$750.00,"$665,000.00",$605.00,5%,,15,8,Central,"Wentworth Park, Broadway Shopping Centre, Ian Thorpe Aquatic Centre","University students, young professionals",3,6,4,2,5,5,6,5,5,7,4.8,https://sydneysuburbreviews.com/ultimo
Waterloo,Inner South,"15,000",2017,"English 16.8%, Chinese 15.7%, Australian 10.9%, Irish 7.6%, Scottish 4.5%","$1,100,000.00","$1,450,000.00",31.82%,$780.00,"$845,000.00",$700.00,36%,,15,12,Green Square,,"Young professionals, professionals, small families",2,5,5,5,5,4,6,5,5,6,4.8,https://sydneysuburbreviews.com/waterloo
Alexandria,Inner South,"8,500",2015,"English 22.6%, Australian 17.5%, Irish 10.8%, Scottish 6.9%, Chinese 5.8%","$1,600,000.00","$1,850,000.00",15.63%,$850.00,"$745,000.00",$625.00,1%,12.8,15,10,Green Square,"Sydney Park, The Grounds of Alexandria","Young professionals, small families",1,6,4,3,6,5,5,5,6,5,4.6,https://sydneysuburbreviews.com/alexandria/
Arncliffe,Southern Suburbs,"11,000",2205,"Lebanese 12.6%, Australian 11.5%, English 11.1%, Chinese 10.8%, Macedonian 4.8%","$1,100,000.00","$1,350,000.00",22.73%,$650.00,"$670,000.00",$550.00,6%,11.1,20,30,Wolli Creek,Barton Park,,4,6,6,5,4,3,3,5,5,4,4.5,https://sydneysuburbreviews.com/arncliffe
Blacktown,Western Suburbs,"47,500",2148,"Australian 14.5%, English 13.7%, Indian 12.8%, Filipino 5.6%, Chinese 4.1%","$680,000.00","$800,000.00",17.65%,$410.00,"$450,000.00",$390.00,5%,13,40 minutes,40 minutes,Blacktown,,,0,0,0,0,0,0,0,0,0,0,0,
Auburn,Western Suburbs,"37,500",2144,"Chinese 18.2%, Turkish 8.0%, Lebanese 7.3%, Nepalese 6.1%, Indian 5.7%","$825,000.00","$950,000.00",15.15%,$500.00,"$575,000.00",$440.00,4%,13.9,30 minutes,25 minutes,Auburn,,,0,0,0,0,0,0,0,0,0,0,0,
Baulkham Hills,Hills Shire,"37,000",2153,"English 19.4%, Australian 19.2%, Chinese 11.6%, Irish 6.7%, Indian 5.8%","$1,200,000.00","$1,400,000.00",16.67%,$590.00,"$730,000.00",$510.00,1%,14.5,35 minutes,30 minutes,Hills Showground (metro),,,0,0,0,0,0,0,0,0,0,0,0,
Maroubra,Eastern Suburbs,"31,000",2035,"English 16.4%, Australian 14.5%, Chinese 12.7%, Irish 8.3%, Greek 5.4%","$1,900,000.00","$2,300,000.00",21.05%,$910.00,"$850,000.00",$610.00,10%,12.5,40 minutes,20 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Merrylands,Western Suburbs,"30,000",2160,"Lebanese 17.5%, Australian 10.1%, English 8.5%, Chinese 8.0%, Indian 4.2%","$830,000.00","$930,000.00",12.05%,$500.00,"$460,000.00",$400.00,7%,14.2,40 minutes,30 minutes,Merrylands,,,0,0,0,0,0,0,0,0,0,0,0,
Kellyville,Hills Shire,"28,000",2155,"English 19.5%, Australian 18.3%, Chinese 8.1%, Irish 5.9%, Indian 5.9%","$1,200,000.00","$1,450,000.00",20.83%,$650.00,"$790,000.00",$525.00,0%,8.8,55 minutes,35 minutes,Kellyville (metro),,,0,0,0,0,0,0,0,0,0,0,0,
Liverpool,Western Suburbs,"28,000",2170,"Indian 8.4%, Australian 7.9%, English 7.0%, Iraqi 6.5%, Serbian 6.3%","$720,000.00","$810,000.00",12.50%,$440.00,"$425,000.00",$375.00,8%,13.6,70 minutes,40 minutes,Liverpool,,,0,0,0,0,0,0,0,0,0,0,0,
Quakers Hill,Western Suburbs,"27,500",2763,"Australian 19.0%, English 18.0%, Indian 11.0%, Filipino 6.3%, Irish 5.2%","$775,000.00","$910,000.00",17.42%,$465.00,"$575,000.00",$440.00,4%,12.8,50 minutes,45 minutes,Quakers Hill,,,0,0,0,0,0,0,0,0,0,0,0,
Parramatta,Western Suburbs,"27,000",2150,"Indian 26.9%, Chinese 16.3%, English 7.7%, Australian 6.5%, Filipino 2.4%","$1,150,000.00","$1,300,000.00",13.04%,$510.00,"$605,000.00",$470.00,4%,12.6,40 minutes,40 minutes,Parramatta,,,0,0,0,0,0,0,0,0,0,0,0,
Greenacre,Western Suburbs,"24,500",2190,"Lebanese 30.7%, Australian 10.4%, English 7.1%, Italian 4.0%, Chinese 3.4%","$910,000.00","$1,100,000.00",20.88%,$580.00,"$590,000.00",$445.00,12%,13.3,50 minutes,30 minutes,Lakemba,,,0,0,0,0,0,0,0,0,0,0,0,
Greystanes,Western Suburbs,"23,000",2145,"Australian 18.5%, English 14.9%, Lebanese 9.9%, Maltese 5.6%, Irish 5.6%","$820,000.00","$950,000.00",15.85%,$500.00,"$640,000.00",$430.00,2%,15.7,60 minutes,35 minutes,Parramatta,,,0,0,0,0,0,0,0,0,0,0,0,
Guildford,Western Suburbs,"22,500",2161,"Lebanese 23.6%, Australian 11.0%, English 8.6%, Chinese 6.3%, Afghan 2.7%","$755,000.00","$900,000.00",19.21%,$490.00,"$440,000.00",$390.00,12%,15.6,45 minutes,30 minutes,Guildford,,,0,0,0,0,0,0,0,0,0,0,0,
Bondi,Eastern Suburbs,"22,000",2026,"English 20.5%, Australian 13.9%, Irish 8.8%, Scottish 5.2%, Italian 4.6%","$2,600,000.00","$3,000,000.00",15.38%,"$1,275.00","$1,100,000.00",$720.00,3%,11.5,30 minutes,20 minutes,Bondi Junction,,,0,0,0,0,0,0,0,0,0,0,0,
Cabramatta,Western Suburbs,"22,000",2166,"Vietnamese 33.0%, Chinese 24.5%, Khmer (Cambodian) 8.2%, English 4.7%, Australian 3.9%","$850,000.00","$1,000,000.00",17.65%,$420.00,"$400,000.00",$340.00,4%,12.3,55 minutes,45 minutes,Cabramatta,,,0,0,0,0,0,0,0,0,0,0,0,
Dee Why,Northern Beaches,"22,000",2099,"English 23.0%, Australian 17.2%, Irish 7.1%, Scottish 5.8%, Italian 3.9%","$1,900,000.00","$2,500,000.00",31.58%,$825.00,"$775,000.00",$560.00,2%,15.5,50 minutes,35 minutes,N/A,,,0,0,0,0,0,0,0,0,0,0,0,
Punchbowl,Western Suburbs,"20,500",2196,"Lebanese 26.2%, Australian 8.8%, English 6.1%, Vietnamese 6.0%, Chinese 5.7%","$830,000.00","$970,000.00",16.87%,$530.00,"$430,000.00",$375.00,7%,16.5,35 minutes,30 minutes,Punchbowl,,,0,0,0,0,0,0,0,0,0,0,0,
St Clair,Western Suburbs,"20,000",2759,"Australian 24.4%, English 21.1%, Irish 6.4%, Scottish 5.1%, Filipino 3.7%","$675,000.00","$775,000.00",14.81%,$445.00,"$590,000.00",$330.00,1%,12.6,80 minutes,45 minutes,Mount Druitt,,,0,0,0,0,0,0,0,0,0,0,0,
Seven Hills,Hills Shire,"19,500",2147,"Australian 18.2%, English 18.1%, Indian 8.3%, Irish 5.7%, Chinese 4.4%","$740,000.00","$900,000.00",21.62%,$425.00,"$580,000.00",$405.00,11%,12.2,40 minutes,40 minutes,Seven Hills,,,0,0,0,0,0,0,0,0,0,0,0,
Cherrybrook,Hills Shire,"19,000",2126,"English 18.7%, Chinese 15.8%, Australian 14.7%, Indian 8.0%, Irish 6.1%","$1,500,000.00","$1,800,000.00",20.00%,$750.00,"$1,000,000.00",$610.00,0%,14.4,65 minutes,35 minutes,Cherrybrook (metro),,,0,0,0,0,0,0,0,0,0,0,0,
Fairfield,Western Suburbs,"18,250",2165,"Assyrian 11.9%, Vietnamese 9.4%, Chinese 8.8%, Iraqi 7.9%, Australian 6.1%","$700,000.00","$875,000.00",25.00%,$450.00,"$395,000.00",$360.00,8%,15.5,50 minutes,40 minutes,Fairfield,,,0,0,0,0,0,0,0,0,0,0,0,
Yagoona,Western Suburbs,"18,250",2199,"Lebanese 20.0%, Vietnamese 13.4%, Australian 11.1%, English 9.1%, Chinese 5.7%","$810,000.00","$950,000.00",17.28%,$500.00,"$515,000.00",$425.00,10%,14.2,45 minutes,30 minutes,Yagoona,,,0,0,0,0,0,0,0,0,0,0,0,
St Ives,Upper North Shore,"17,500",2075,"English 24.0%, Australian 16.1%, Chinese 11.7%, Scottish 6.5%, Irish 6.3%","$1,900,000.00","$2,300,000.00",21.05%,"$1,050.00","$915,000.00",$635.00,0%,11.9,50 minutes,30 minutes,Pymble,,,0,0,0,0,0,0,0,0,0,0,0,
Lakemba,Western Suburbs,"17,250",2195,"Bangladeshi 12.9%, Lebanese 7.7%, Australian 6.7%, Indian 6.6%, Pakistani 6.0%","$875,000.00","$1,000,000.00",14.29%,$510.00,"$380,000.00",$360.00,2%,17.1,30 minutes,30 minutes,Lakemba,,,0,0,0,0,0,0,0,0,0,0,0,
Mount Druitt,Western Suburbs,"17,000",2770,"Australian 11.9%, Filipino 11.9%, English 10.2%, Indian 6.9%, Pakistani 5.5%","$655,000.00","$775,000.00",18.32%,$395.00,"$395,000.00",$340.00,2%,12.8,50 minutes,45 minutes,Mount Druitt,,,0,0,0,0,0,0,0,0,0,0,0,
